City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Hovd,MN,48.0056,91.6419,12.04,86,91,1.05,overcast clouds
337,Port Lincoln,AU,-34.7333,135.8667,63.16,73,67,16.51,broken clouds
338,Maniitsoq,GL,65.4167,-52.9,25.99,79,0,18.19,clear sky
339,Neuquen,AR,-38.9516,-68.0591,69.8,46,75,6.91,broken clouds
340,Korce,AL,40.6186,20.7808,45.27,71,66,7.29,broken clouds
341,Aklavik,CA,68.2191,-135.0107,-22.0,76,100,10.36,overcast clouds
342,Athabasca,CA,54.7169,-113.2854,-14.8,58,60,3.44,broken clouds
343,Itaquitinga,BR,-7.6678,-35.1017,80.6,69,40,8.05,scattered clouds
344,Kendari,ID,-3.945,122.4989,80.28,79,77,3.02,broken clouds
345,Hasaki,JP,35.7333,140.8333,41.0,56,75,4.61,light rain
